";1marketresearch","I'm considering [launching / expanding into / pivoting to] [describe the new product, service, or market]. My current business is [describe]. Write a market research brief covering:<br />1. Market Size: How to estimate the TAM, SAM, and SOM for this market (give me the framework and suggest data sources)<br />2. Target Customer: Detailed profile of the ideal buyer — demographics, psychographics, buying behavior, where they hang out<br />3. Demand Signals: What signals would indicate there's real demand? (Search trends, community activity, competitor traction, etc.) — tell me where to look<br />4. Competitive Landscape: Key players and their positioning<br />5. Risks & Barriers: What could go wrong, what barriers to entry exist<br />6. Go/No-Go Framework: 5 key questions I should answer before investing time and money<br />Be practical — I'm a solopreneur, not a Fortune 500 company. I need scrappy research methods.","62. Market Research Brief"
";1swotaction","Take this SWOT analysis I've already done (or do a quick one based on my description):<br />Strengths: [list]<br />Weaknesses: [list]<br />Opportunities: [list]<br />Threats: [list]<br />Now turn it into an actual action plan. For each quadrant: (1) Strengths: How do I double down on these? What specific actions leverage them further? (2) Weaknesses: What's the one weakness costing me the most money, and what's the fastest way to address it? (3) Opportunities: Rank them by impact vs. effort — which should I pursue first? (4) Threats: What's the biggest threat and what's my contingency plan? Give me a prioritized list of 5 actions I should take in the next 30 days based on this SWOT. No abstract strategy — just tell me what to do.","86. SWOT-Based Action Plan"
";contentcal","Create a 30-day social media content calendar for my [type of business] targeting [your audience]. I post on [platforms — e.g., LinkedIn daily, Twitter 3x/week, Instagram 2x/week]. My content pillars are: [list 3-5 topics you talk about — e.g., freelancing tips, AI tools, client management, personal brand]. For each day, give me: the platform, content type (text post, carousel idea, video hook, poll, etc.), a one-line topic, and a suggested hook/first line. Mix educational, personal story, promotional (20% max), and engagement posts.","13. 30-Day Content Calendar"
";homepage","Rewrite the homepage copy for my website [your URL or describe your business]. Current copy: [paste your current homepage copy or describe what's there]. What's wrong with it: [e.g., ""too vague,"" ""doesn't speak to our audience,"" ""no clear CTA""]. My ideal visitor is [describe]. When they land on the page, I want them to [desired action].<br />Rewrite the following sections: (1) Hero headline + subheadline + CTA button text, (2) ""Who we help"" section, (3) ""How it works"" (3 steps), (4) Key benefits (turn my features into benefits), (5) Social proof section suggestions, (6) Final CTA section. Match my brand voice: [describe tone]. Make every sentence earn its place — if it doesn't move the reader toward the CTA, cut it.","40. Website Homepage Copy Refresh"
";landingpage","Write the full copy for a landing page for [your product/service]. The target visitor is [describe: who they are, where they're coming from, what they want]. The goal of the page is [get them to sign up / book a call / buy / download].<br />Structure:<br />- Hero section: Headline (benefit-driven, under 10 words), subheadline (clarify what it is and who it's for), CTA button text<br />- Problem section: Agitate the pain they're feeling (use [specific pain points they experience])<br />- Solution section: Introduce your offer as the fix<br />- How it works: 3-step breakdown<br />- Social proof: Suggest where to place testimonials, logos, stats (use these real ones if I have them: [paste any])<br />- Features/Benefits: [list your key features — I'll turn them into benefit-driven copy]<br />- FAQ: Write 5 common objections as questions with persuasive answers<br />- Final CTA: Urgency-driven close<br />Tone: [describe — e.g., ""bold, direct, slightly playful""]. No fluff.","31. Landing Page Copy (Full Page)"
";liposts","Write a LinkedIn post based on this experience I had: [describe what happened — a win, failure, lesson, client interaction, or observation]. Extract a clear takeaway that's relevant to [your audience — e.g., freelancers, SaaS founders, marketers]. Structure: hook line that stops the scroll (no clickbait), short paragraphs (1-2 sentences each), end with a question or CTA to drive comments. No hashtags. No emojis in every line. Tone: real, conversational, not ""LinkedIn guru."" Under 200 words.","11. LinkedIn Post from a Personal Story"
";persona","Create a detailed buyer persona for my [product/service]. Here's what I know about my best customers:<br />- Industry/role: [describe]<br />- Age range: [approximate]<br />- What they struggle with: [their pain points]<br />- What they've tried before: [previous solutions]<br />- How they found me: [acquisition channels]<br />- Why they buy: [what pushes them to purchase]<br />- Common objections: [what makes them hesitate]<br />Build a full persona including: Name (fictional), demographics, psychographics (values, beliefs, fears, aspirations), daily workflow, information diet (what they read, listen to, follow), buying triggers, objections and how to overcome them, and the exact language they use to describe their problem (this matters for copywriting). Make this so vivid that I can picture this person when I write marketing copy.","64. Customer Avatar / Buyer Persona"
";testireq","Write an email to [client name] asking for a testimonial. We worked together on [describe the project/service]. The result was [describe the outcome — e.g., ""we increased their email open rates by 34%""]. Make it easy for them — include 3 specific questions they can answer instead of writing from scratch: (1) What was the problem before we worked together? (2) What was it like working with me? (3) What results did you get? Offer to draft something for their approval if they're short on time.","8. Testimonial Request Email"
";trendreport","Write a trend report for the [your industry] industry covering the most important trends happening right now and what's coming in the next 12 months. My audience for this report is [who will read it — e.g., my blog readers, my team, investors, clients].<br />For each trend, include: (1) What's happening — describe the trend plainly, (2) Why it matters — the business impact, (3) Who's leading it — companies or people driving this trend, (4) What to do about it — a specific action step for a [solopreneur / small business] in my space. Cover at least 7 trends. End with a ""What This Means for You"" summary section. Cite the types of sources I should reference if I want to publish this (you don't need to provide URLs — just tell me where to look).","63. Industry Trend Report"
";twthread","Write a Twitter/X thread (8-10 tweets) teaching [your audience] how to [specific skill or process — e.g., ""price their freelance services without undercharging""]. Start with a hook tweet that makes people want to read the rest. Each tweet should be a standalone insight that also flows into the next. End with a CTA to [follow me / check out my newsletter / visit my site]. No generic advice — make each tweet specific and actionable. Use plain language, not jargon.","12. Twitter/X Thread (Educational)"
